"","Z","Y","sample_count","avg_attempted","std_attempted","avg_attempted_before_support","std_attempted_before_support","avg_support_requested","std_support_requested","avg_completed","std_completed","avg_attempt_count","std_attempt_count","avg_correctness","std_correctness"
"1",FALSE,1,120,0.816666666666667,0.388561954077934,0.956521739130435,0.204823601805549,0.0583333333333333,0.235355384180488,0.95,0.218858766477072,1.18367346938776,0.461886288847107,0.640776699029126,0.482118871763557
"2",FALSE,0,421,0.87666133820507,0.251521500819375,0.983355525965379,0.0897548072960793,0.0574027555758545,0.205889001011747,0.956458856664383,0.177371607039911,1.26428398498971,0.714936191869014,0.637430848261328,0.478365395203884
"3",TRUE,1,20,0.85,0.366347548532523,0.894736842105263,0.315301767642306,0.2,0.410391340834062,0.95,0.223606797749979,1.41176470588235,0.712287119900726,0.555555555555556,0.511309992564914
"4",FALSE,1,114,0.875496031746032,0.331587280700561,0.906760130593432,0.251791050594225,0.15327380952381,0.355365322317317,0.892361111111111,0.308828503536743,1.58289289181318,1.4774568223333,0.47040745514028,0.501709431086999
"5",FALSE,1,327.5,0.892199612403101,0.304887305277206,0.920589715205796,0.255736767488864,0.177931201550388,0.374958082741589,0.929552400119261,0.256649505212575,1.41275797373358,0.793887830143882,0.420422623135027,0.485871096434652
"6",FALSE,1,75,0.853333333333333,0.356155649747195,0.985915492957746,0.118678165819385,0.0266666666666667,0.162192189412149,0.933333333333333,0.251123601166961,1.1875,0.467176592151157,0.544117647058823,0.501752853754812
"7",TRUE,0,252,0.920955882352941,0.232474144019563,0.909546819903357,0.280714497277304,0.244791666666667,0.431307056718726,0.956188725490196,0.190942562743424,1.49650487199661,0.996309065567827,0.379775984672636,0.483876534582263
"8",FALSE,1,446,0.939461883408072,0.238748943650904,1,0,0.00224215246636771,0.0473513723810378,0.986547085201794,0.115333249551719,1.22434367541766,0.954605675887786,0.811320754716981,0.391715812149376
"9",TRUE,0,512.168161530287,0.816587144950247,0.298777220927807,0.962707618297629,0.119453458827634,0.106091339757973,0.249633745518475,0.968838433349242,0.10703212227232,1.45419784591235,1.03747666300241,0.650686032741594,0.426896002008567
"10",FALSE,1,446,0.959641255605381,0.197020175781408,0.995515695067265,0.0668896691799185,0.0807174887892377,0.27270665971929,1,0,1.15420560747664,0.538500019910763,0.813084112149533,0.390300217637014
"11",FALSE,1,638,0.954226859283039,0.20476444060595,0.898293196165536,0.297480460175708,0.255724986623863,0.439953866541184,0.907035848047084,0.25827369227906,1.32385361552028,0.619883930596739,0.563069139966273,0.498899919797048
"12",FALSE,0,167,1,0,1,0,0.0239520958083832,0.153359794623711,1,0,1.08982035928144,0.476259867625557,0.934579439252336,0.24843009105039
"13",TRUE,1,985,0.981171548117155,0.0952822567692467,0.998324396782842,0.0289059506886737,0.0615416110469225,0.24047467768425,1,0,1.44404650891712,1.24806153359674,0.680430797433547,0.466195244193289
"14",FALSE,0,523.5,0.972727272727273,0.113693167620734,0.99773413897281,0.0336080732065737,0.0360693686977675,0.181863475419558,0.997402597402597,0.0359905440924316,1.20188572756549,0.599185341491661,0.77020202020202,0.414435080203211
"15",FALSE,0,584.5,0.996028243601059,0.0444054470145557,0.896105179913009,0.258092777853881,0.209681769147789,0.360729847898512,0.995145631067961,0.0490483731344101,1.25385527876631,0.599252259251023,0.674924069855733,0.461644707301436
"16",FALSE,0,488.5,0.95505850456621,0.168798125975221,0.998432601880878,0.0279946255477927,0.0163051750380518,0.121670207373145,0.996915429984779,0.0555166780804977,1.11382706374086,0.452204660666815,0.867301737721898,0.336476225738464
"17",FALSE,1,72,1,0,0.99009900990099,0.0700070717785703,0.0495049504950495,0.15008248557126,0.988372093023256,0.0762492851663023,1.26606032696293,0.67643817109989,0.777432034064854,0.38746550371787
"18",TRUE,0,400.5,0.793248787765759,0.385078154633866,0.975234818698121,0.14625510623662,0.0312569936590824,0.17511526653337,0.838940693770981,0.279611088035045,1.16594202898551,0.472344864091106,0.631432688349115,0.438018681259824
"19",FALSE,1,169.5,0.813251879699248,0.353707834213754,0.979166666666667,0.102062072615966,0.0241541353383459,0.154177380013117,0.842857142857143,0.235504107976803,1.13228438228438,0.406490666753232,0.658341658341658,0.409866962650856
"20",FALSE,0,1061,0.959523809523809,0.136489353538449,0.998324396782842,0.0289059506886737,0.0388910166390059,0.184622333566091,0.996031746031746,0.0444016815498073,1.35312513022823,1.13935056664941,0.765362304282862,0.405188257193164
"21",FALSE,1,765.5,0.953419480999947,0.191427967697231,0.892497200447928,0.205528224750966,0.180761235311735,0.303204107717492,0.988817539594454,0.104059107818999,1.24073470338243,0.688297423900384,0.569372594462608,0.390228168579289
"22",TRUE,1,2317,0.998705222270177,0.0359674799553653,1,0,0.00906344410876133,0.0947901683979966,0.998705222270177,0.0359674799553653,1.09031979256698,0.411740352869823,0.902979902979903,0.296087743322181
"23",TRUE,1,439.5,0.95890603085554,0.198643882226575,0.867674625362854,0.267137991752451,0.228206326944055,0.32481902187327,0.979569892473118,0.0990897579271743,1.32929970849434,0.798306664674441,0.533384694401644,0.409494209295558
"24",TRUE,1,385,0.945454545454545,0.227386335241468,1,0,0.0207792207792208,0.142830084017454,0.994805194805195,0.0719810881848632,1.13186813186813,0.507981284416771,0.833333333333333,0.3731881648615
"25",FALSE,1,350,0.948571428571429,0.221186470582463,0.994285714285714,0.0754845176362906,0.0342857142857143,0.182222599384834,1,0,1.19879518072289,0.679611400586777,0.843373493975904,0.363996869640382
"26",TRUE,1,58.5,0.6875,0.244623027395041,0.821428571428571,0.243975018237133,0.153079710144928,0.289862748135436,0.770833333333333,0.25176680643543,1.49033816425121,1.06163651251581,0.259677419354839,0.400651785062993
"27",TRUE,1,150,0.905940594059406,0.196378095610594,0.957159535048982,0.202393944436663,0.154435544056918,0.361237734517628,0.98019801980198,0.0979997979387693,1.42480696163746,0.960835986267638,0.581578947368421,0.488441066105421
"28",FALSE,0,96,0.854166666666667,0.354791760026154,0.873684210526316,0.333967295607331,0.239583333333333,0.429069781262888,0.927083333333333,0.261364503153684,1.40243902439024,0.717673815958627,0.325301204819277,0.471335252622148
"29",TRUE,1,340,0.88671875,0.231215266259183,0.955980326402862,0.202857252590674,0.10078125,0.269855073136647,0.88671875,0.231215266259183,1.44176889292746,1.00681486556338,0.404693486590038,0.492513070776685
"30",TRUE,0,229,0.8300395256917,0.308581130992455,0.993827160493827,0.055279843900555,0.209046991655687,0.40866950903235,0.943675889328063,0.218405163624059,1.88271604938272,1.20960199984013,0.456886018502356,0.49104751657754
"31",TRUE,0,269.5,0.905130434782609,0.260688874115386,0.912526347485697,0.240535357964609,0.235410628019324,0.422114821278563,0.973130434782609,0.161357608077757,1.49457502374169,0.930814012598238,0.479489504341136,0.494411107416926
"32",TRUE,1,88.5,0.923771121351767,0.242611172796843,0.854851537645811,0.352410086457723,0.165706605222734,0.370620211467232,0.952956989247312,0.190870277980998,1.21255456871895,0.559476821662194,0.588417396556931,0.479482053452433
"33",TRUE,1,342,0.840127840909091,0.255341884470025,0.922646993069528,0.26689270571091,0.133735795454545,0.336199813358013,0.953764204545455,0.165165917101629,1.54929577464789,0.832634835101761,0.400608519269777,0.491480642026408
"34",FALSE,1,1078.5,0.840435830142408,0.250956801945804,0.952144097809659,0.159433308728246,0.0478208492879577,0.179725289871457,0.953125672245407,0.172013907046012,1.44418127269856,0.786362752371574,0.565359477124183,0.450485169281089
"35",TRUE,0,534.5,0.89813209494324,0.269213216023311,0.878266160020494,0.262072612090927,0.16015479876161,0.299667285251833,0.959164086687306,0.192184029423,1.25514360851854,0.830992198855495,0.543035219628017,0.489572226755583
"36",FALSE,1,378,0.939153439153439,0.239365480297185,0.974647887323944,0.157414051393236,0.126984126984127,0.33339648258716,0.923280423280423,0.266498726116226,1.36338028169014,0.781357546110823,0.566978193146417,0.496267218993936
"37",FALSE,1,84,0.869047619047619,0.339374403361411,0.829268292682927,0.378589912956105,0.202380952380952,0.404187774111552,0.916666666666667,0.278045386488953,1.26027397260274,0.745866335587796,0.467532467532468,0.502216549655404
